Designator,Mid X,Mid Y,Rotation,Layer
C1,105.0,-67.7,270.0,top
C2,82.0,-83.8,180.0,top
C3,107.25,-72.5,270.0,top
C4,68.5,-64.25,180.0,top
C5,107.25,-69.0,270.0,top
C6,78.5,-64.0,180.0,top
H1,113.0,-103.0,0.0,top
H2,40.75,-65.0,0.0,top
H3,41.0,-103.0,0.0,top
J1,111.6,-72.25,90.0,top
R1,77.06,-70.0,0.0,top
R2,75.0,-74.25,180.0,top
R3,77.0,-66.5,180.0,top
SW1,107.55,-90.95,270.0,top
U1,86.94375,-87.99375,0.0,top
U2,93.0275,-71.6775,0.0,top
U3,69.75,-68.0,180.0,top
